Fecha contable;Fecha de emisión;Tipo de comprobante;Nro. Comprobante;Cód. condición de compra;Condición de compra;Codigo Proveedor;Razón social;Nombre provincia;Cód. Artículo;Descripción;Código de concepto;Concepto;Cantidad;Precio unitario;Importe;
01/03/2022;16/02/2022;N/C;A0001000017797;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;55.269,04;-55.269,04;
01/03/2022;16/02/2022;N/C;A0001000017798;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;188.229,01;-188.229,01;
01/03/2022;16/02/2022;N/C;A0001000017799;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;12.236,80;-12.236,80;
01/03/2022;16/02/2022;N/C;A0001000017800;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;29.278,26;-29.278,26;
01/03/2022;16/02/2022;N/C;A0001000017801;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;156.944,41;-156.944,41;
01/03/2022;16/02/2022;N/C;A0001000017802;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;531.316,79;-531.316,79;
01/03/2022;16/02/2022;N/C;A0001000017803;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;334.745,22;-334.745,22;
01/03/2022;17/02/2022;N/C;A0000300000721;2;TRANSFERENCIA;25;ANODIZADO CALIFORNIA S.R.L. -;Capital Federal;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;156.709,44;-156.709,44;
01/03/2022;17/02/2022;N/C;A0001000017811;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;145.994,80;-145.994,80;
01/03/2022;17/02/2022;N/C;A0001000017812;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;50.055,36;-50.055,36;
01/03/2022;17/02/2022;N/C;A0001000017813;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;49.717,80;-49.717,80;
01/03/2022;17/02/2022;N/C;A0001000017814;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;48.455,00;-48.455,00;
01/03/2022;17/02/2022;N/C;A0001000017815;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;14.990,08;-14.990,08;
01/03/2022;17/02/2022;N/C;A0001000017816;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;11.992,43;-11.992,43;
01/03/2022;17/02/2022;N/C;A0001000017817;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;38.764,00;-38.764,00;
01/03/2022;17/02/2022;N/C;A0001000017818;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;162.158,51;-162.158,51;
01/03/2022;17/02/2022;N/C;A0001000017819;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;594.928,81;-594.928,81;
01/03/2022;17/02/2022;N/C;A0001000017820;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;604.001,34;-604.001,34;
01/03/2022;17/02/2022;N/C;A0001000017821;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;449.820,40;-449.820,40;
01/03/2022;17/02/2022;N/C;A0001000017822;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;169.301,83;-169.301,83;
01/03/2022;21/02/2022;N/C;A0000700078664;2;TRANSFERENCIA;232;ALCEMAR S A;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;82.593,51;-82.593,51;
01/03/2022;21/02/2022;N/C;A0001000017858;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;57.876,51;-57.876,51;
01/03/2022;21/02/2022;N/C;A0001000017859;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;42.674,00;-42.674,00;
01/03/2022;21/02/2022;N/C;A0001000017860;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;32.464,85;-32.464,85;
01/03/2022;21/02/2022;N/C;A0001000017861;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;1.207.585,56;-1.207.585,56;
01/03/2022;21/02/2022;N/C;A0001000017862;2;TRANSFERENCIA;772;HYDRO EXTRUSION ARGENTINA S A -;Buenos Aires;114303;ANTICIPO DE BIENES;0;SIN CONCEPTO;-1,00;45.362,32;-45.362,32;
